location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Engineering,0
IN,0,1,1,Full-time,Mid-Senior level,,Computer Software,Design,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,0,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Engineering,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0
US,0,1,0,Full-time,,,Building Materials,Sales,0
EG,0,0,0,Full-time,Entry level,Bachelor's Degree,Banking,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Food & Beverages,Production,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Education Management,Administrative,0
US,0,1,0,Full-time,,,Information Technology and Services,,0
US,0,0,0,Full-time,Associate,Bachelor's Degree,Financial Services,Information Technology,0
US,0,1,0,,,,,,0
PL,0,1,1,,,,,,0
US,0,1,0,,,,,,0
CA,0,1,1,,,Bachelor's Degree,Hospital & Health Care,,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Marketing,0
US,0,1,1,Full-time,Not Applicable,Unspecified,Information Technology and Services,Design,0
US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0
US,0,1,1,Full-time,Entry level,High School or equivalent,Food Production,Supply Chain,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0
US,0,0,0,,,,,,0
NZ,0,1,1,Full-time,,Unspecified,Computer Software,Engineering,0
GR,0,1,1,,,,,,0
US,0,0,0,Full-time,,,,,0
US,0,0,0,Full-time,,,,,0
US,0,0,1,Contract,,,,Information Technology,0
GB,0,1,0,,,,,Marketing,0
US,0,1,1,Full-time,Associate,High School or equivalent,Banking,Customer Service,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
AE,0,0,0,Full-time,,,"Health, Wellness and Fitness",,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Insurance,Administrative,0
DE,0,1,1,Full-time,Mid-Senior level,Master's Degree,E-Learning,Engineering,0
US,0,1,1,Full-time,Associate,High School or equivalent,Hospital & Health Care,Health Care Provider,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0
US,1,0,0,Full-time,Mid-Senior level,,Banking,Business Development,0
NZ,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Product Management,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
GB,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Financial Analyst,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0
GR,0,1,1,,,,,,0
CA,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0
GB,0,1,0,Full-time,,,Staffing and Recruiting,Consulting,0
US,1,0,0,Full-time,Entry level,High School or equivalent,Consumer Services,Human Resources,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0
GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0
US,0,1,0,Full-time,Director,Master's Degree,Internet,Marketing,0
GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
US,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,,,,,,0
CA,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GB,1,1,0,Full-time,Entry level,Bachelor's Degree,Internet,Marketing,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
US,0,0,0,,,,,,0
US,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0
GB,0,1,1,Full-time,Internship,High School or equivalent,,,0
GB,0,1,0,Full-time,Not Applicable,Unspecified,Venture Capital & Private Equity,Information Technology,0
US,0,0,1,Full-time,Mid-Senior level,,Computer Software,Project Management,0
US,0,1,0,Full-time,Director,Bachelor's Degree,Management Consulting,Management,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Insurance,Customer Service,0
GB,0,1,0,Full-time,Mid-Senior level,,"Leisure, Travel & Tourism",Management,0
US,1,1,0,,,,,Sales,0
GB,0,1,1,,Not Applicable,High School or equivalent,Human Resources,Human Resources,0
US,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Administrative,0
US,0,1,1,,,,,,0
US,0,1,0,Full-time,Director,,Computer Software,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Associate,High School or equivalent,Consumer Services,Administrative,0
DE,0,1,1,Full-time,,,,,0
CA,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Education Management,Customer Service,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0
GR,0,1,0,Full-time,Mid-Senior level,,Internet,,0
US,0,1,1,Full-time,Associate,Unspecified,Pharmaceuticals,Sales,0
US,0,1,1,Temporary,Internship,Some College Coursework Completed,Farming,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0
GB,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0
GB,0,1,0,Full-time,Mid-Senior level,,Computer Software,Design,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0
DE,0,1,1,,,,,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Customer Service,0
IL,0,1,0,,,,,,0
US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0
nan,0,0,0,,,,,,1
GR,0,1,0,Full-time,Associate,Unspecified,Computer Software,Other,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0
US,0,0,0,Full-time,,,,,0
GR,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0
US,0,1,0,Full-time,Associate,Unspecified,Marketing and Advertising,Information Technology,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Luxury Goods & Jewelry,Sales,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,0
US,0,0,0,Contract,,High School or equivalent,Machinery,Production,0
US,0,0,0,Full-time,Associate,High School or equivalent,Real Estate,Customer Service,0
US,0,1,0,,,,,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,1,0,1,Contract,,,,Customer Service,0
US,0,1,1,,,,,,0
US,0,0,0,Full-time,Associate,High School or equivalent,Mechanical or Industrial Engineering,Manufacturing,0
US,0,0,1,Full-time,Director,Bachelor's Degree,,,0
AU,0,1,0,Full-time,Mid-Senior level,,Public Relations and Communications,Public Relations,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
EG,0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Marketing,0
GB,0,1,1,Full-time,Internship,Bachelor's Degree,Computer Software,Marketing,0
GR,0,0,0,Full-time,Mid-Senior level,Master's Degree,Consumer Goods,Sales,0
US,0,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Sales,0
GR,0,1,0,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Administrative,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
DE,0,1,1,Full-time,,,,,0
GB,0,1,0,Full-time,Associate,Vocational,Marketing and Advertising,Information Technology,0
AU,0,1,0,Full-time,Associate,,Medical Practice,,0
US,0,1,1,Full-time,Mid-Senior level,Certification,Electrical/Electronic Manufacturing,Other,1
US,0,1,1,Full-time,Associate,,Cosmetics,Sales,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Administrative,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Other,Entry level,High School or equivalent,Financial Services,,0
US,0,1,1,Full-time,Director,Bachelor's Degree,Marketing and Advertising,Strategy/Planning,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Human Resources,0
PK,0,0,0,,,,,Sales,1
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Full-time,,,Oil & Energy,Engineering,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0
GB,0,1,0,,,,,,0
GB,0,1,0,,,,Cosmetics,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Administrative,0
US,0,1,1,Part-time,Entry level,Some College Coursework Completed,Medical Practice,Other,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Sales,0
US,0,0,0,,,,,,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Information Technology,0
GR,0,0,1,Full-time,Entry level,,Hospitality,,0
GB,0,1,0,,,,,,0
GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
IN,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
GB,0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Business Development,0
US,0,1,0,,,,,,0
NZ,0,1,1,Full-time,Mid-Senior level,,Marketing and Advertising,Advertising,0
BE,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0
nan,0,1,0,,,,,,0
US,0,1,0,Full-time,Entry level,Bachelor's Degree,Consumer Electronics,Customer Service,0
GB,0,1,0,Full-time,Not Applicable,Unspecified,Consumer Services,Customer Service,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
BR,0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Information Technology,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
CA,0,1,0,Full-time,Entry level,High School or equivalent,Education Management,Administrative,0
US,0,0,0,,,,,,0
US,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GB,0,1,0,Full-time,Director,,Computer Software,Management,0
AU,0,1,0,Full-time,Entry level,Unspecified,Information Technology and Services,Production,0
SA,0,1,0,Full-time,Director,Master's Degree,Telecommunications,Sales,0
US,0,1,0,Full-time,Mid-Senior level,High School or equivalent,Music,Management,0
GB,0,1,1,Full-time,,High School or equivalent,,Administrative,0
DK,0,1,1,,,,,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Education Management,Customer Service,0
GB,0,1,0,Full-time,Entry level,Bachelor's Degree,Financial Services,Finance,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GB,0,0,0,Full-time,Not Applicable,Unspecified,Market Research,Advertising,0
US,0,1,1,Full-time,Associate,High School or equivalent,Banking,Customer Service,0
US,0,0,0,Full-time,Associate,Certification,Information Technology and Services,Information Technology,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Customer Service,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0
GB,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Information Technology,0
nan,0,1,1,,,,,,0
GB,0,1,0,,Not Applicable,High School or equivalent,,Sales,0
US,0,1,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
RU,0,1,1,Full-time,Not Applicable,Unspecified,Education Management,Health Care Provider,0
US,0,0,0,Full-time,,,,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
GB,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Finance,0
GB,0,0,1,Full-time,Not Applicable,Unspecified,Automotive,Sales,0
ZA,0,1,0,Contract,,Bachelor's Degree,Education Management,,0
US,0,0,0,,,,,,0
GB,0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Business Development,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Public Relations,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
GB,0,1,0,Full-time,,,,,0
NZ,0,1,0,Full-time,,,Information Technology and Services,Information Technology,0
GB,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0
US,0,0,0,Full-time,,,,,0
US,0,1,0,Contract,,Bachelor's Degree,Education Management,,0
US,0,0,0,Full-time,,,,,0
GB,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Finance,0
US,0,1,0,Full-time,,,Information Technology and Services,Marketing,0
US,0,1,0,Full-time,Not Applicable,Unspecified,Internet,Administrative,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,General Business,0
US,0,0,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Product Management,0
GB,0,1,1,,Not Applicable,High School or equivalent,,Customer Service,0
US,0,0,1,Full-time,Entry level,High School or equivalent,,Customer Service,0
US,0,1,1,Full-time,Mid-Senior level,Unspecified,Financial Services,Sales,0
GB,0,1,0,Full-time,Not Applicable,High School or equivalent,,Customer Service,0
US,0,0,0,Contract,Mid-Senior level,,Information Technology and Services,Information Technology,0
US,0,1,0,,,,,,0
US,0,0,0,,,,,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0
GR,0,1,0,Full-time,Mid-Senior level,,Internet,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,,,,,Research,0
US,0,1,0,Full-time,,,Oil & Energy,,0
US,0,0,0,Full-time,,,Marketing and Advertising,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
DE,0,1,1,Full-time,,,,,0
CY,0,1,1,Full-time,Not Applicable,Master's Degree,Computer Software,,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Sales,0
NZ,0,1,1,Full-time,Associate,,Internet,Information Technology,0
US,0,1,0,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Sales,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Full-time,Director,Bachelor's Degree,Computer Software,Project Management,0
US,0,1,1,Full-time,,,,,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,Unspecified,Computer Software,Sales,0
GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Design,0
US,0,1,0,,,,Building Materials,Sales,0
US,1,1,1,Other,Internship,Bachelor's Degree,Computer Software,Engineering,0
US,0,1,0,,,,,Research,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Consumer Goods,Accounting/Auditing,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,,Financial Services,,0
GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Philanthropy,Engineering,0
GB,0,1,1,Full-time,Entry level,Bachelor's Degree,Online Media,Art/Creative,0
DE,0,1,1,Full-time,,,,,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0
US,0,1,0,Full-time,Not Applicable,Unspecified,Consumer Services,Sales,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
US,0,1,0,Full-time,Entry level,,Financial Services,,0
DE,0,1,0,Full-time,Entry level,Unspecified,Computer Software,,0
US,0,1,0,Full-time,Not Applicable,Unspecified,Hospital & Health Care,,0
US,0,0,0,Full-time,Not Applicable,Bachelor's Degree,Utilities,Engineering,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Other,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
DE,0,1,1,Full-time,Associate,,Hospitality,Product Management,0
HK,0,1,0,Contract,Not Applicable,,Banking,Information Technology,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GB,0,1,0,,,,,,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Administrative,0
HK,0,1,0,Full-time,Mid-Senior level,,Information Technology and Services,Sales,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
EG,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Human Resources,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Project Management,0
IN,0,1,1,Full-time,,,,Sales,0
GB,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Consulting,0
AU,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Online Media,Advertising,0
GR,0,1,0,Full-time,,Bachelor's Degree,Telecommunications,Engineering,0
GB,0,1,0,Full-time,Mid-Senior level,,Online Media,,0
US,0,1,0,Full-time,,Unspecified,"Health, Wellness and Fitness",Management,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Quality Assurance,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Financial Services,,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Strategy/Planning,0
nan,0,1,0,,,,,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Marketing,0
US,0,1,0,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,,,,,,0
US,1,1,1,Contract,,,,,0
TR,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Customer Service,0
US,0,1,0,Full-time,Entry level,,Information Technology and Services,Information Technology,0
US,0,1,0,,,,,Marketing,0
BE,0,1,0,Other,Internship,High School or equivalent,Information Technology and Services,Sales,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Administrative,0
US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0
US,0,1,0,,,,,,0
GB,0,1,1,Full-time,,,Marketing and Advertising,Accounting/Auditing,0
US,0,1,1,Temporary,,,,,0
US,0,1,0,Full-time,Director,Bachelor's Degree,Farming,Customer Service,0
GR,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Quality Assurance,0
US,0,1,0,Contract,,Bachelor's Degree,Education Management,,0
RU,0,1,0,Full-time,Not Applicable,Unspecified,Primary/Secondary Education,Education,0
CA,0,0,1,,,,,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
DE,0,1,0,,,,,Marketing,0
nan,0,1,0,,,,,,0
US,0,1,0,Full-time,Associate,,Logistics and Supply Chain,Supply Chain,0
AU,0,1,1,Full-time,,,Design,Design,0
GR,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Gambling & Casinos,Marketing,0
IE,0,1,0,,,,,,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0
US,0,1,1,Full-time,,Bachelor's Degree,Primary/Secondary Education,Education,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
US,0,0,0,Contract,Associate,,Automotive,,1
US,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
CA,0,1,0,Part-time,,,Accounting,Accounting/Auditing,0
US,1,0,0,Part-time,,,,,0
GB,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Engineering,0
US,0,1,1,Full-time,Associate,Bachelor's Degree,Insurance,Consulting,0
SG,0,1,1,Full-time,Director,Bachelor's Degree,"Health, Wellness and Fitness",Marketing,0
GB,0,1,1,,,,,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,1,1,1,Full-time,Director,Associate Degree,Information Technology and Services,Sales,0
GB,0,1,1,,Not Applicable,High School or equivalent,,Administrative,0
US,0,0,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Engineering,0
US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Environmental Services,Project Management,0
US,0,0,1,,,,,,0
US,0,1,1,Full-time,Director,Bachelor's Degree,Internet,Marketing,0
US,0,1,1,Full-time,Internship,Master's Degree,Financial Services,Consulting,0
US,0,0,0,Full-time,,,,,0
US,0,0,0,Full-time,Mid-Senior level,High School or equivalent,Construction,General Business,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0
US,0,1,1,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Design,0
US,0,0,1,Full-time,Associate,Bachelor's Degree,Mental Health Care,Information Technology,0
GB,0,1,1,Full-time,,,,,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
CA,0,1,1,Full-time,,,,,0
US,0,0,0,Full-time,Mid-Senior level,,Information Technology and Services,Information Technology,0
US,0,1,1,Full-time,Not Applicable,,Investment Management,,0
US,0,0,0,Full-time,,,Marketing and Advertising,,0
US,0,0,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Information Technology,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Quality Assurance,0
AU,0,1,1,Full-time,,,,,0
IN,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Data Analyst,0
DE,0,1,1,Full-time,Mid-Senior level,Master's Degree,Management Consulting,Strategy/Planning,0
CA,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0
US,0,1,0,,,,,,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Computer Software,Administrative,0
US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Business Analyst,0
US,0,0,0,Contract,,,,,0
LT,0,1,0,,,,,,0
US,1,1,1,Full-time,Mid-Senior level,,Information Technology and Services,Engineering,0
US,0,1,0,Full-time,Mid-Senior level,,Information Technology and Services,Product Management,0
JP,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Human Resources,Engineering,0
DE,0,1,0,,,,,,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,E-Learning,Marketing,0
US,0,1,0,Full-time,,,Building Materials,Sales,0
GR,0,1,1,Full-time,Associate,Unspecified,Apparel & Fashion,Sales,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,Education,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0
nan,0,1,0,Other,Internship,Bachelor's Degree,Media Production,,0
